Source,Target,Weight
1,6,72.5
1,7,25
1,8,86
1,9,85
1,10,144
2,6,73.0
2,7,23
2,8,82
2,9,72
2,10,117
3,6,94.1
3,7,58
3,8,50
3,9,39
3,10,93
4,6,80.5
4,7,20
4,8,68
4,9,52
4,10,109
5,6,88.2
5,7,41
5,8,47
5,9,67
5,10,88
